data,nome,status,tarefas,linha,mensagem
01/01/2025,Nome_1,Sucesso,Estudo,1,
02/01/2025,Nome_2,Sucesso,Viagem,2,
03/01/2025,Nome_3,Sucesso,Estudo,3,
04/01/2025,Nome_4,Sucesso,Projeto,4,
05/01/2025,Nome_5,Sucesso,Treinamento,5,
06/01/2025,Nome_6,Sucesso,Estudo,6,
07/01/2025,Nome_7,Sucesso,Treinamento,7,
08/01/2025,Nome_8,Sucesso,Projeto,8,
09/01/2025,Nome_9,Sucesso,Projeto,9,
10/01/2025,Nome_10,Sucesso,Reunião,10,
11/01/2025,Nome_11,Sucesso,Projeto,11,
12/01/2025,Nome_12,Sucesso,Projeto,12,
13/01/2025,Nome_13,Sucesso,Reunião,13,
14/01/2025,Nome_14,Sucesso,Reunião,14,
15/01/2025,Nome_15,Sucesso,Projeto,15,
16/01/2025,Nome_16,Sucesso,Treinamento,16,
17/01/2025,Nome_17,Sucesso,Viagem,17,
18/01/2025,Nome_18,Sucesso,Reunião,18,
19/01/2025,Nome_19,Sucesso,Reunião,19,
20/01/2025,Nome_20,Sucesso,Viagem,20,
21/01/2025,Nome_21,Sucesso,Projeto,21,
22/01/2025,Nome_22,Sucesso,Treinamento,22,
23/01/2025,Nome_23,Sucesso,Estudo,23,
24/01/2025,Nome_24,Sucesso,Viagem,24,
25/01/2025,Nome_25,Sucesso,Estudo,25,
26/01/2025,Nome_26,Sucesso,Viagem,26,
27/01/2025,Nome_27,Sucesso,Reunião,27,
28/01/2025,Nome_28,Sucesso,Reunião,28,
29/01/2025,Nome_29,Sucesso,Projeto,29,
30/01/2025,Nome_30,Sucesso,Treinamento,30,
31/01/2025,Nome_31,Sucesso,Viagem,31,
01/02/2025,Nome_32,Sucesso,Viagem,32,
02/02/2025,Nome_33,Sucesso,Viagem,33,
03/02/2025,Nome_34,Sucesso,Projeto,34,
04/02/2025,Nome_35,Sucesso,Treinamento,35,
05/02/2025,Nome_36,Sucesso,Estudo,36,
06/02/2025,Nome_37,Sucesso,Projeto,37,
07/02/2025,Nome_38,Sucesso,Viagem,38,
08/02/2025,Nome_39,Sucesso,Reunião,39,
09/02/2025,Nome_40,Sucesso,Treinamento,40,
10/02/2025,Nome_41,Sucesso,Estudo,41,
11/02/2025,Nome_42,Sucesso,Reunião,42,
12/02/2025,Nome_43,Sucesso,Treinamento,43,
13/02/2025,Nome_44,Sucesso,Estudo,44,
14/02/2025,Nome_45,Sucesso,Estudo,45,
15/02/2025,Nome_46,Sucesso,Estudo,46,
16/02/2025,Nome_47,Sucesso,Estudo,47,
17/02/2025,Nome_48,Sucesso,Viagem,48,
18/02/2025,Nome_49,Sucesso,Treinamento,49,
19/02/2025,Nome_50,Sucesso,Treinamento,50,
